EmbeddingType,AA,Learning Rate,Weight decay,avg  AUC ROC,std AUC ROC,avg AUC PR,std AUC PR,avg MCC,std MCC
oneHot,Hydroxylation-P,0.00904,7.125,0.823,0.042,0.551,0.101,0.387,0.073
oneHot,O-linked Glycosylation,0.00754,5.189,0.698,0.012,0.164,0.01,0.118,0.018
oneHot,Phosphorylation-Y,0.00489,0.849,0.724,0.002,0.394,0.003,0.259,0.007
EmbeddingLayer,Hydroxylation-P,0.006100,8.730,	0.807,0.042,	0.503,0.081,	0.396,0.08
EmbeddingLayer,O-linked Glycosylation,0.004920,5.391,0.687,0.023,0.185,0.08,	0.102,0.022
EmbeddingLayer,Phosphorylation-Y,0.00673,0.5940,	0.727,	0.002,	0.398,	0.005,0.263,0.003
AdaptiveEmb.,Hydroxylation-P,0.00741,6.612,0.847,	0.033,0.588,	0.071,0.459,0.07
AdaptiveEmb.,O-linked Glycosylation,0.002556,8.358,0.707,0.01,0.178,0.012,	0.099,0.013
AdaptiveEmb.,Phosphorylation-Y,0.004070,0.7154,0.732,	0.002,0.409,0.004,	0.27,0.006
